"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","wine_quality","wine_quality_num","P"
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,"bad",0,0.363756411165101
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8,"good",1,0.922867198613779
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4,"bad",0,0.287381700485661
7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6,"good",1,0.400506639765592
7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6,"good",1,0.400506639765592
5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6,"good",1,0.691024639219347
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,"bad",0,0.575920452107425
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,"bad",0,0.575920452107425
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,"good",1,0.742809658706216
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5,"bad",0,0.554720759786683
6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,"good",1,0.783477062878119
5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,6,"good",1,0.766936421971693
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7,"good",1,0.797407832335288
7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5,"bad",0,0.513143520330232
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5,"bad",0,0.690381218272883
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,"bad",0,0.761671611358061
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,"good",1,0.798274354201127
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4,"bad",0,0.37807116087413
6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6,"good",1,0.836017434346155
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5,"bad",0,0.572936235611345
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5,"bad",0,0.574832365021846
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5,"bad",0,0.369310099855731
6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,4,"bad",0,0.40092909777977
7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6,"good",1,0.617696860242284
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5,"bad",0,0.539848972258985
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"good",1,0.429185703376872
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"good",1,0.429185703376872
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"good",1,0.429185703376872
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"good",1,0.429185703376872
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6,"good",1,0.575268628636523
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7,"good",1,0.945896929355074
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6,"good",1,0.882637836556404
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6,"good",1,0.797496227115747
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5,"bad",0,0.507133070484946
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,"bad",0,0.788498750645909
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4,"bad",0,0.770247814446627
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,"bad",0,0.366308705044636
6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7,"good",1,0.960509889946736
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4,"bad",0,0.312538668624972
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,"bad",0,0.366308705044636
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,"good",1,0.656072282019519
7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,"bad",0,0.370761123319455
6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6,"good",1,0.934424427562621
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,"good",1,0.656072282019519
6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6,"good",1,0.57021108161344
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5,"bad",0,0.700093242013236
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6,"good",1,0.38588192559185
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6,"good",1,0.865787117303286
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8,"good",1,0.972610986069002
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6,"good",1,0.728571512245105
6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5,"bad",0,0.542304461289996
6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,6,"good",1,0.311446227570669
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6,"good",1,0.256053707538077
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,"good",1,0.936603841300825
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,"good",1,0.936603841300825
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,"good",1,0.933946164962897
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,"bad",0,0.643693561242703
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5,"bad",0,0.339992043364086
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6,"good",1,0.402781704529867
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5,"bad",0,0.382813330795735
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5,"bad",0,0.640674096788972
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5,"bad",0,0.548955929238655
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,"good",1,0.749556206535668
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4,"bad",0,0.360362551897565
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,"good",1,0.490630316016016
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7,"good",1,0.793186301575418
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4,"bad",0,0.595907558769556
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6,"good",1,0.541892299058285
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5,"bad",0,0.566825862054801
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5,"bad",0,0.520364536138368
7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6,"good",1,0.734121786005585
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5,"bad",0,0.631054978446979
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,"good",1,0.820335990587559
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,"bad",0,0.722248701125691
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,"bad",0,0.722248701125691
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5,"bad",0,0.644760357278773
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5,"bad",0,0.683013472440166
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7,"good",1,0.975311697372583
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4,"bad",0,0.492416365964454
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6,"good",1,0.583184140271202
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,"good",1,0.93161744991565
8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5,"bad",0,0.775038351178039
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5,"bad",0,0.612883349330614
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6,"good",1,0.665614741013744
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6,"good",1,0.581225314647744
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5,"bad",0,0.23662794569564
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5,"bad",0,0.461903439957932
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,"good",1,0.828664673227038
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,"good",1,0.828664673227038
6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5,"bad",0,0.693338721572995
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6,"good",1,0.597142320446095
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,"good",1,0.750966450402557
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6,"good",1,0.353200000507112
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,"bad",0,0.413855598330998
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,"good",1,0.750966450402557
7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7,"good",1,0.716777770074575
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,"bad",0,0.323096946378395
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,"bad",0,0.311436712867041
6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6,"good",1,0.812103407867175
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8,"good",1,0.885867067223077
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7,"good",1,0.790318037560698
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5,"bad",0,0.51438129406165
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7,"good",1,0.925756978719614
7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5,"bad",0,0.510365486105448
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,"bad",0,0.59883808062084
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5,"bad",0,0.365953619759349
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6,"good",1,0.808757621949797
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,6,"good",1,0.592446224023181
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7,"good",1,0.786941485896801
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,"good",1,0.443405579538527
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,"bad",0,0.47791145545821
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,"good",1,0.355614211219397
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,"good",1,0.443405579538527
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,"bad",0,0.47791145545821
7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7,"good",1,0.782624406125711
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,"good",1,0.355614211219397
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,"bad",0,0.91467056102058
5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6,"good",1,0.881247425112622
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6,"good",1,0.659598404671179
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5,"bad",0,0.473346940047907
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,"bad",0,0.496497549662823
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6,"good",1,0.960054624523764
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,"good",1,0.602674678096771
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,"good",1,0.839313533080861
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,"good",1,0.652641589634124
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6,"good",1,0.827700826180013
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,"good",1,0.839313533080861
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6,"good",1,0.736215645289311
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6,"good",1,0.611267420679257
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,"good",1,0.602674678096771
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,"bad",0,0.329883922384751
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7,"good",1,0.911231131808572
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,"bad",0,0.455425686616349
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6,"good",1,0.841212757427676
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7,"good",1,0.866715340470904
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7,"good",1,0.86890443260328
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,"good",1,0.652641589634124
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6,"good",1,0.650370283643954
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,"bad",0,0.440006321173203
5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6,"good",1,0.773867821288241
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6,"good",1,0.475936726085496
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,"good",1,0.570206280421282
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5,"bad",0,0.406763792582296
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6,"good",1,0.796344775588648
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,"good",1,0.659533500169054
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,"good",1,0.659533500169054
6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7,"good",1,0.714652103516987
6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,7,"good",1,0.542598509316804
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7,"good",1,0.556282325492968
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5,"bad",0,0.530013162076373
9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9,"good",1,0.740354618662463
6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6,"good",1,0.828044333406834
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,"good",1,0.740719096727164
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,"bad",0,0.416167244750413
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,"good",1,0.810840153121038
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8,"good",1,0.546591507493684
6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,"bad",0,0.688795871191288
7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6,"good",1,0.424242479732942
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,"good",1,0.810840153121038
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8,"good",1,0.546591507493684
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,"bad",0,0.416167244750413
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,"good",1,0.321013913658112
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,"good",1,0.357377821261726
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,"good",1,0.357377821261726
5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7,"good",1,0.621389707028393
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,"good",1,0.321013913658112
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,"good",1,0.357377821261726
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,"good",1,0.826959663672897
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,"bad",0,0.390271250184699
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,"good",1,0.826959663672897
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5,"bad",0,0.374873188927981
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,"bad",0,0.296330042235234
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6,"good",1,0.315086280065075
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6,"good",1,0.693508804541772
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6,"good",1,0.463035748551897
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,"good",1,0.868004972311971
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,"good",1,0.451708548210662
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,"bad",0,0.460234652719607
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5,"bad",0,0.38430842644676
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7,"good",1,0.513730070728931
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6,"good",1,0.592230265405273
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,"good",1,0.451708548210662
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,"bad",0,0.50437741253034
6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6,"good",1,0.469750227455916
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6,"good",1,0.292356418340241
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,"good",1,0.464226931923741
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,"bad",0,0.460234652719607
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6,"good",1,0.347291957075249
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,"good",1,0.30776529091846
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,"good",1,0.51419784035104
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6,"good",1,0.711320592208399
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,"bad",0,0.212746801552209
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,"bad",0,0.762102128891067
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,"bad",0,0.368599625578623
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,"bad",0,0.212746801552209
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,"bad",0,0.368599625578623
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9,"good",1,0.969695033320921
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6,"good",1,0.277089581079472
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,"bad",0,0.609282093277326
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6,"good",1,0.674644760627678
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,"bad",0,0.762102128891067
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6,"good",1,0.557301609137018
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6,"good",1,0.676965971300415
7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9,"good",1,0.919738079184471
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7,"good",1,0.685492194470487
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,"good",1,0.557611261321666
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,"good",1,0.532587331249271
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4,"bad",0,0.750127643040036
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,"good",1,0.944689445671568
6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6,"good",1,0.869275977779258
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,"good",1,0.532587331249271
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8,"good",1,0.900246786735047
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,"good",1,0.857483739679735
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,"good",1,0.857483739679735
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,"good",1,0.857483739679735
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7,"good",1,0.835031389280439
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7,"good",1,0.853262766425284
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,"good",1,0.336932190749043
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,"good",1,0.336932190749043
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7,"good",1,0.600434793024028
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,"good",1,0.831154228300764
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,"good",1,0.831154228300764
6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,"bad",0,0.506606389876892
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,"bad",0,0.742789861314057
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,"good",1,0.336932190749043
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,"good",1,0.83900342630475
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7,"good",1,0.600434793024028
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,"bad",0,0.663339186303347
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,"good",1,0.79785706014517
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,"bad",0,0.465000651824701
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,"good",1,0.79785706014517
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7,"good",1,0.688039096075342
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,"bad",0,0.663339186303347
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5,"bad",0,0.64911850033464
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,"good",1,0.52989725281891
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5,"bad",0,0.501763275401047
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8,"good",1,0.845630671517501
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7,"good",1,0.660193414430608
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6,"good",1,0.622283725087029
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6,"good",1,0.900114820332627
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,"bad",0,0.652670367683299
6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6,"good",1,0.922054138282012
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,"good",1,0.79785706014517
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8,"good",1,0.480700091742974
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7,"good",1,0.719293398278984
7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,"good",1,0.768540768497094
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5,"bad",0,0.443778361752359
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,"bad",0,0.465000651824701
6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,"good",1,0.67961421160922
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,"bad",0,0.403291606389125
