SYMBOL,ACHROMOSOME,normal1,normal2,normal3,normal4,normal5,normal6,normal7,cancer1,cancer2,cancer3,cancer4,cancer5,cancer6,cancer7
MAP1A,15,10.7,29.4,34.2,26.2,35.5,23,10.7,5.7,4.4,5.7,17.6,9.7,9.6,5.6
POLR2D,2,148.5,81.4,36.5,88.2,23.7,344,18,269.9,169.6,98.2,110.8,111.5,100.8,203.3
NA,NA,141.7,784,2784.8,308.4,2675.1,1878.2,2952.3,150.9,141.8,119,365,544.2,679.6,732.7
BSN,3,43.3,457.2,661.2,229.1,286.8,530.8,76,57.7,139.2,102.1,234.8,27.1,177.8,104
SLC25A14,X,255.9,69.6,91.3,32.1,253,262.2,50,180.7,320.4,169.6,186.1,167.9,164.6,226.5
GPRC5A,12,51,263.2,525,48.1,353,404.7,67,150.7,77.8,93.4,103.2,3375.8,24.2,235.5
SLC7A7,14,60.6,143.8,1379.5,99.2,162.5,106.2,112.3,75.7,26.6,118.8,90.9,734.4,11,103.4
AP4M1,7,296.5,284.7,126.2,590,306.8,248.1,239,123.8,399.1,160.3,397.2,221.7,195.2,181.6
ABCG2,4,51.1,338.5,351.2,266,792.4,386.2,508.4,55.5,92.5,75.5,98.7,174.8,127.5,77.7
DIEXF,1,139.9,285.7,72.3,61.3,354.2,285.8,275,153.3,219.6,142.2,80.8,107,205.6,107.1
SEZ6L,22,7.7,21.3,479.8,32.7,40.5,34.5,19,30.1,4.2,2.1,12.4,15.6,4.4,20.1
STOML1,15,1136,853.4,702.3,2119.8,982.5,656.3,1048.5,379.4,570.7,872,1504.3,491,556.4,549.1
ST20,15,765.2,1253.7,1309.8,1933.1,1837.3,1608.9,976.8,1126.9,818.3,987.2,1162.2,949.1,670.7,968.3
ST20,15,223.7,674.9,286,671.8,1212.8,842.5,673.1,186.2,284,81.3,248.5,220.6,264.6,483.8
ST20,15,104,252.9,42.6,258.6,577.4,357.1,173.1,187,99.7,71.2,121.6,109.6,43.9,220.1
FAM189B,1,1060.9,2041.1,1162.3,358.1,1118,1077.3,1786.4,1297.8,1790.9,1227.9,1304.7,784.6,1726.7,1528.4
ATP6V1H,8,296.3,46.5,91.4,68,88.5,65.9,156.3,350.3,422.2,623.9,439.3,436.9,312.3,485.3
ATP6V1H,8,13.7,37.3,41.2,11,44.9,38.4,43.7,1.8,39.8,1.8,5.5,5,34.3,21.7
ATRNL1,10,48.3,101.6,34.1,34.5,55.4,78.6,28.9,4.2,43.4,9.5,10.2,18.5,69.1,26.5
GEMIN4,17,418.1,592.4,72,304.3,524,514.4,618.9,342.8,357.4,263.4,341.6,279.1,485.2,565.7
PHKG2,16,300.1,168.9,261.8,134.8,152.5,145.2,142.9,499,372.7,193.6,562.5,322.4,492.3,128.1
ECD,10,948.8,76,47.4,170.5,437.3,454.8,277.4,787.8,1031.7,1106.9,612.2,290.7,1009.9,4006.3
SNHG3,1,699.5,106.3,82.1,5217.8,360.3,416.3,76.7,2990.7,761,1439.8,2277.3,76.7,294.2,982.3
HMHA1,19,147.3,472.8,321.1,134.6,259.4,207.2,69.5,27.6,133.1,257.9,602,1004.8,53.6,196.5
TP53TG1,7,239.8,83.6,91.4,124.3,94.9,155.3,105.9,231.2,428.3,277.9,380.9,69.1,242.5,157.8
PTPRU,1,70.1,220.1,230,371.9,344.2,297.5,188.2,496.5,540.9,324,71.7,208.2,899.7,131.5
AP3S2,15,314.9,141,168.8,413.2,203.2,117.6,361.4,253.5,417.2,201.2,463.7,242.7,644.5,638.9
IVNS1ABP,1,2080.6,1223.9,1077.2,1259.8,1006.5,895.6,1018.6,1444.4,3315.4,1547.6,3777.3,871.1,1917.2,3600.6
DAAM1,14,221.7,334.3,466.2,33.8,572.9,472.6,390.7,65.6,77.1,58,27.1,1090,622.2,644.4
NKX2-1,14,216.1,924,429.9,90.2,1444.9,663.2,482.7,164,150,114,149.2,5044.2,100.6,210.2
OSBPL3,7,145.6,62.5,283.9,136.6,146.1,390.8,301.3,67.4,84.3,224,70.1,160.5,61.6,185.2
AOC3,17,187.6,174.1,144.1,354.1,464.2,545.5,30.3,134.4,58.6,373.3,159.7,293.9,96.5,156.3
PSG11,19,28.7,462,593.7,492.6,858.6,666.7,580.3,130.3,130.6,123.6,27,146.2,151.8,248.5
PSG11,19,47.2,444.8,224.7,238.4,1495.8,286.9,533.7,115.8,298.9,208.7,33,244.3,266,486.8
BPGM,7,123.8,30.3,68.2,49.3,418.6,124.9,48.7,167.5,189.1,327.6,93,131.6,187,205.9
PEX14,1,585.4,68.7,792.5,75.9,31.1,338.6,243.7,705.3,538.1,345.1,374.5,985.5,725.9,515.8
NA,NA,87.2,165,522.5,36.5,746.7,568.2,537.6,126.5,1499.8,175.8,165,121.9,205,269.8
FAM91A2,1,30.8,193,200.9,205.3,520,394.5,268.1,40,43.9,21.3,64.9,70.4,21.2,116
FLJ39739,1,40.6,253.9,63.2,528.8,121.5,521.9,373.4,316.3,283.6,223.2,124.4,203.8,260.9,37.9
GABBR2,9,6.8,13.8,126.5,69.9,82.6,38,73.9,13.4,10.9,8.4,88.1,86.8,5.9,80.2
NA,NA,7.7,318.2,36.6,261.9,220,248.8,154.3,18.6,5.9,22,74.3,62.6,46.9,49.4
VIPR1,3,5.1,63.3,121.9,110.5,81.4,46.9,40.6,60.5,69.4,18.1,28.1,870.5,8,28.8
NEFH,22,667.4,422.1,258.5,923.3,148.9,399.1,357.4,281.2,1182,1499.7,591.5,72.7,406.8,532.6
DMWD,19,547.7,3302.1,796.6,1939.4,4175.5,3604.5,3194.1,839.7,736.6,564.1,830.9,907.4,825.2,1771.5
MPZL1,1,17.5,228.5,37,197.3,347.1,533.6,298.1,66.2,66.3,51.3,63.1,83.4,48.1,73.7
CHUK,10,1377.9,1511.7,957.8,710.6,2071.2,1011.4,1005.5,1162.3,1745,1874.7,2952.8,1454.8,1575.7,1641.4
LRRC8B,1,8.4,157.5,203,68.6,114.8,259.1,25.5,59,6.1,58.1,53.6,132.1,37.7,12.3
PTGER4,5,17.2,61.8,40.6,91.2,477.7,199.6,74.3,14.2,12.2,11,26.4,18.6,14.7,24.5
MLLT10,10,25.3,96.6,99,26.3,66.6,101.7,15.6,37.3,212.9,2.7,50.1,5.4,64,44
CASP8,2,681.3,869.8,970,247.8,919.7,528.3,614.9,273.2,613.7,600.9,362.4,441.2,498.8,567
CASP8,2,11.6,240.5,122.3,187.4,114.1,246.9,130.4,59.3,36.8,19.6,37.2,99.9,19.3,12.7
RWDD3,1,290.9,102.5,450,139.3,154,107,118.2,273.5,246.8,279,153.5,87.4,124.7,124.3
TBXAS1,7,266.2,164,1482.1,59.9,130.8,195.8,122.5,38,64.4,150.1,34.3,664.2,157.2,54.6
TBC1D22A,22,1210.5,1700.4,2459.2,3441.4,2656.4,1750.7,1660.9,1011.6,1007.7,1269.9,840.5,1240.1,865.3,1360
VAMP1,12,1052.2,4456.4,2613.4,1782,6368.1,6190.6,5429.6,1183.6,1553.7,1524.8,2528.9,1059.3,1980.9,2896.5
VAMP1,12,4.6,57.6,95,28.2,181,93.4,20.6,8.9,66.1,9.1,5.4,19.8,94.2,144.4
UBE2M,19,269.6,119.6,255.9,62.6,86.3,30.4,389.4,534.8,1188.5,175.3,222.3,433.5,590.8,2039
UBE2M,19,4874.4,756.2,5942.9,9465.1,4198.7,2385.4,3484.7,5063.4,2553.6,2190.6,3823.9,2983.5,2167.1,3296.8
PLXNB1,3,208.2,403,290.8,336.5,613.4,1566.9,263.8,1125.2,1096.1,686.8,1110.6,1494.9,129.7,564.3
TRAF2,9,260.7,1107.9,636.3,1526.2,1460.8,401.4,1190.2,965,601.9,585.4,798.1,534.4,525.3,1167.8
BAI2,1,483.2,491,393.7,4149.3,513,698.9,1009.8,941.9,679.7,1094,758.4,144,572.1,620.3
CEP104,1,1.4,60.3,21,93.1,10.7,8.1,5.3,1.6,5.2,18.5,26.5,12.6,1.7,57.3
NUAK1,12,466.3,1709.5,913.5,929.5,1813.9,803.7,1158.5,232.7,131.7,804.4,462.4,1023.9,146.3,450.7
ENTPD4,8,1065.5,97.6,1484.6,2258.2,148.1,589,331.9,827.3,1084.8,2109.5,1845,913.6,476.4,706.4
CCL15,17,61.9,1156.9,269.4,130.2,603.5,1279.5,186.1,116.5,44.4,215.2,81.1,316.8,39.5,240.3
NA,NA,328.5,148.4,1614.9,338.7,340.2,86,92.3,27.6,79,165,22.3,616.3,149.7,199.7
DLEU1,13,852.7,32.8,917.7,269.1,364,124.9,277.8,556.7,263,350.3,619.4,198.7,496.1,1139.8
PSCA,8,191.4,698.7,1015.8,618.1,1141.7,1012.7,740.9,242,213.8,152.1,262.1,286.5,183.3,294
TCF20,22,7.4,73.5,65.1,10.3,23.5,34.2,37.5,30,3.9,6.9,4.9,30.2,11.9,32.5
TCF20,22,227,781.5,246.7,580.4,935.7,765.3,611.9,128.5,241.8,128.8,239.4,286.4,246.1,509.4
TCF20,22,397.3,225.6,540.6,149.7,937.5,910.2,760.9,539,777.1,626.3,484.5,435.2,1330.4,2050.4
ARL4A,7,328.6,626.7,129.5,397.1,735.6,335.5,421.3,123.3,99.7,185.3,150.9,444.7,231.1,341.2
MPHOSPH10,2,621.6,696.3,264.9,339.9,892.5,362.7,531.5,696.3,422.2,637.7,420.8,327.5,458.2,387
SMG6,17,31.8,93,50.9,170,167.9,100.7,95.3,50.8,34.8,26.9,352.3,75.7,77.4,86.1
SIAH2,3,373.9,38.5,593.5,19.6,122.3,198.6,257.7,620.7,847.3,270.1,257.5,291.1,499.1,615.4
PARG,10,28.7,26.3,98.7,170.8,235.6,54,38.6,98.6,233.3,131.4,43.5,22.1,147,112.2
ADCY9,16,192.5,69.5,39.2,99.7,358.4,120.7,181.2,178.4,18.9,583.7,622,2348.2,610.7,74.9
CD2BP2,16,63.7,303.5,1263.6,176.4,441.9,322.4,128.6,54,150.8,98.6,41.6,71.6,141.1,204.8
HMOX1,22,326.2,116.7,417.5,68.2,55,48.1,100.8,20.5,13.3,165.2,260.4,85.2,22.4,100.4
THBD,20,254.7,201.1,521.9,46,545.7,320.7,226,77.7,203.3,330,119.4,461.6,93.6,34.6
PTK2B,8,647.6,118.7,235.5,103.5,185,546.6,629.2,780.7,442.7,907,726.7,523.9,288.1,349.3
CEP350,1,76.3,232.1,925.6,375.5,552,723.9,870.5,58.7,133.3,64.9,29.5,537.8,798.1,547.4
C6orf106,6,112.6,859.8,216.4,430.4,1255.3,1078.5,481.9,386.9,319.7,232.6,36.3,298.8,290.3,249.9
PLEKHA6,1,67.7,420.5,101.8,462.9,686,164.8,190.3,43.9,24.7,106.8,114.7,79.3,25.9,49.8
TEAD3,6,729.5,1731.2,876.8,870.4,1940.7,1839.7,1845,1030.9,808.4,839.9,492.1,934.6,849.3,880.9
GNAI1,7,61.4,236.5,274.9,151,116,120.7,229,130.7,53,387.1,144.5,183.6,40.3,9.2
TRRAP,7,484.5,144,90.9,537.2,80.3,418.2,420.3,713.5,690.2,1307.4,556.2,248,589,441.6
CCPG1,15,184.5,39.7,215.6,674.1,116.2,145.2,366.5,94.5,308.5,317.8,210.3,545.1,170.5,126.2
ADAM19,5,262.6,163.2,207.9,868,270.5,178.4,104.3,371.4,107.1,348.1,251,75.3,133.2,256.3
TNFRSF1B,1,959,1630.4,9529.6,1653.9,1245.9,375.9,852.2,1218.5,89.1,1629,1602.4,1827.9,236.7,139.9
PAK4,19,338.6,130.1,141.6,1221.2,387.6,695.2,616.1,534.6,499.3,296.7,386,584.9,410.9,197.2
UMPS,3,1183.1,156.3,48.8,201.3,249.2,165.8,457.1,1796.4,420.7,764.2,882.2,356.7,661.5,327
MYO9B,19,531.7,636.7,1889.9,1566.7,317.1,278.2,657.6,595.5,331,499.5,1122.1,744.7,452,197.6
NA,NA,612.3,23.6,19.4,38.9,63.8,186.5,233.2,2429.4,2537,1188.5,287.3,723.7,632.3,264.6
VCP,9,956.6,1643,923,1040.7,1398.3,1020.4,1738.4,3413.6,2168.5,999.5,646.5,917.9,1779.9,1293.6
LDHB,12,6837.6,3153.2,763.7,3007.6,169,1474.9,3151.1,12038.7,9046.6,6005,11776.1,6436,7678.6,5839.1
HSPA8,11,15669.6,9905.6,1779.2,708.6,229.3,640.2,9189.1,11784,8604.3,5188.4,10220.4,11378.2,7975,5118
ELOVL5,6,1396.8,426.8,181.3,172.5,31.9,406.6,302.3,2234.3,1491,800.7,986.4,2060,1295.3,1045.4
NUMA1,11,2505.4,786.9,1210.4,1801.6,287.8,649.6,1700.6,1369.5,2087.8,1273.6,2374.8,1285.9,3662.5,2576.6
SCARB2,4,215.5,356,830.8,376.7,678.6,437.4,243,169.8,130.9,230.9,207.1,199.5,154,69.7
KRT8,12,3091.1,3155.3,3249.7,6187.5,1485.5,4012.9,5125,2471.2,1609.1,1705.2,3946.5,7154.2,2120.1,2283.5
SERPINA3,14,269.5,546.2,1649.3,625.6,1170.3,783.2,730.8,177.5,250.6,139.9,231.7,434.6,143.3,135.2
CIZ1,9,550.1,417.5,1909.6,784.2,883.5,1193.5,702.5,1304.9,745.9,435.6,492.7,503,768.5,459
N4BP2L2,13,248,158.9,464.5,338.1,201.8,270.8,264.2,250.2,807.5,310.3,121.5,157.2,274.2,205.2
SMARCE1,17,705.2,463.1,82.7,431.7,441.3,517.1,474.7,534.3,592.8,534.9,580.5,715.7,715.9,637.7
LEPROT,1,11.3,28.2,80.3,239.8,122.4,101.7,279.1,22.8,121.9,13,17.4,771.6,304.9,201.8
LEPROT,1,593.4,415.1,29.9,41.6,503.1,375.2,298.6,369.7,477.2,681.9,381.9,595.5,307.3,289.8
CREBBP,16,440.8,119.6,217.1,23.6,32.6,157.5,96,474.4,364.2,454.6,186.9,266.8,292.7,547.4
IFI6,1,17.7,80.1,54.4,318.6,71.5,55,159.7,16.3,13.3,4.9,15.1,30.1,10.6,20.5
SPTAN1,9,2052.2,588.4,735.4,8064.7,456.2,1029,1113.1,1481.7,2172.5,4273.1,4554.7,2603.6,5083.2,2655.8
CXCL12,10,721.6,979.5,233.6,396.8,299.5,1971.8,1236.5,707.4,173.1,986.7,2763.9,387.5,274.4,2856.2
TSPYL4,6,1016.7,285.3,535.7,737.3,1006.3,570.6,825.3,1938,2448,1634.2,889,630.9,1714.5,1567.4
NA,NA,334.2,337.1,54.6,303,499.3,994.7,839.5,1865.1,2508.5,2270.5,484,266.3,1327,1456.7
SRP72,4,352.2,239.9,309.1,210.3,336.9,257.5,147.3,252.6,509.8,366,147.5,177.7,201.1,239.3
BAG6,6,1333.8,1313.6,335,1048.5,502.6,1524.4,1631.7,1950.7,1867,1330,1711.6,1188.9,2076.2,2798.5
ITPR2,12,364.2,1327.4,1346.1,280.9,1487.9,742.7,1215.3,391.3,187.3,541.5,449,846.2,220,142
TPD52,8,81.9,320.7,245.9,184,723.5,317.2,292.9,95.3,51.3,45.6,121,178.4,91.1,247.2
KIAA1539,9,511.1,1253.5,1055.1,428.8,2222.3,1656.9,1418,592.9,420.1,457.8,506.8,449.4,495.3,603.1
KIAA1539,9,141.1,718.9,1266.7,464.6,855.7,606.6,512.3,96.9,249.9,101.3,106.1,255.4,176,223.6
KIAA1539,9,166.2,575.3,655.3,223.2,804.5,708,587.1,161.6,233.3,150.4,236.9,145.5,177.8,439.6
RQCD1,2,680.3,853.7,692.1,243.4,1075.8,736.9,534,1206.5,831.9,665.9,671.6,522.3,935.2,1092.6
HNRNPH1,5,324,464.1,575.1,26.1,400.9,565.7,937,675.1,2314.3,523.7,382.2,2134.6,4782.8,8036.4
NA,NA,15.4,128.7,184.8,97.2,177.8,95.9,304.5,13,15.7,12.9,11.1,44.9,20.9,34.9
CDKN1B,12,334.7,117.2,123.3,29.8,47.1,42.1,303.4,291,791.6,428.9,135.9,202.5,343.1,488.6
CDKN1B,12,146.6,87,850.3,416.2,220.8,208.7,319.7,118.8,196.1,131.6,152.8,161.3,92.2,256.1
NAMPT,7,36.1,140.6,307.4,19.4,110.7,159.2,195.1,77.1,129.1,119.2,59.4,236.5,117.7,120.4
MAP4,3,548.1,305.2,61,226.7,128.4,604.5,457.2,341.8,521.1,1006.3,925.6,687.6,659.5,549
C16orf80,16,106.2,550.6,80.1,120.9,976.3,402.7,105.5,71.3,36.4,20.4,106.6,41.2,111.4,38.5
TIA1,2,6935.2,65,255.9,2052,105.7,27.3,384.3,1375.4,1722.3,1129.7,3154.3,329.5,488.3,865.9
NRP2,2,37.4,170.3,100.5,77.8,238.3,198,133.5,57.3,29.1,11.8,87.7,46.5,26.3,81.8
ATP6V1D,14,409.2,55.1,261.1,52.2,43.8,38.7,127,304.6,487.5,414.3,266.3,314.6,621.9,382
GRB2,17,335.2,872.2,560.1,336.8,820.4,709.1,689.5,258.3,444.6,285.6,225.8,361.1,829,403.4
FAM127A,X,1730.1,949.6,228,2350.2,85.8,1456.8,786.6,1646.7,2108.6,4970.8,2882.8,2257.9,3436.4,1639.1
NSFL1C,20,360.3,254.8,1220.7,521,1145.8,105.5,501.5,339.1,891.9,317.7,135.1,323.7,395.1,215.1
NSFL1C,20,12.3,56.2,495,34.7,61.1,38.2,37.8,9.5,78.3,18.4,5.9,33.9,23.6,20.9
SAP18,13,10430.3,3335.9,2641.4,4178.8,837.5,2245.9,1537.8,8148.1,3355.9,7153.9,4898.5,5623.5,5034.2,3919.3
UBR4,1,1550.2,963.2,431.8,351.4,841,934.2,974.7,2279.3,2100.9,1340.6,2276.7,1430.5,1958.5,1271
CNOT2,12,2346.1,499.6,1136.5,886.4,616,372,721.5,1142.8,1521.5,1059.3,1227,544.6,903,482
PPAP2B,1,138.4,486.4,871.5,370.1,999.5,772.1,362.5,558,131.8,127.4,191.8,940,516.4,619.7
HYOU1,11,1062.2,1363.9,1654.8,1344.5,710.5,834.6,1231.7,2451.3,2475,1916.2,1528.2,1528.2,1577.6,1114.6
ZMYND11,10,45.4,195.1,178.3,76.8,274.7,38.3,127.1,26.6,235.3,5.5,19.7,18.7,108,75.5
ZMYND11,10,147.2,54.5,394.9,230.8,326.1,37.9,144.7,96.7,1107.1,273.1,78,296.4,968.7,482.9
TPM4,19,589.6,130,240.9,272.5,231.5,123.7,105.7,997,2130.4,1627.3,223.7,600.7,515.8,1209.6
RBMS1,2,51.1,191.6,56,329.7,882.7,815.2,1086,82,66.2,78.8,57.3,2959,1120,714.7
POLDIP3,22,1575.7,744.6,54.5,107.9,754.5,285,973.7,1460.1,1162.5,476.8,870.6,859.4,1478.5,606.5
STAT5B,17,665.3,133,256,366.2,258.7,50.3,269.9,114.4,549.9,424.8,196.5,261.2,451.1,282.4
KDM3B,5,530.9,62.6,326.8,186.6,350.2,286.6,344.6,518.2,640.7,749.6,321.6,253.4,406.8,230.4
FOLR2,11,270.6,792.4,631.3,390.5,895,1364.5,943.9,60.3,331.8,491.8,381.1,839.6,303,658.4
LPHN2,1,128,202.4,758.6,153.3,529,161,441.6,94.9,55.4,127.2,58.7,300.1,68.8,179.9
VPS72,1,1914.3,1089.5,774.4,3460.9,2138.5,1606.8,1622.9,3041.9,3193.2,2170.2,1815.9,1193.7,4312.9,4616
NA,NA,6.4,39.7,73.2,15.9,36.8,43.6,14.4,13,16.7,3.5,5.4,13.7,8.3,25.8
ATP6V0E1,5,1289.9,289.9,789.6,209.7,340.6,195.4,556.5,854.4,765.6,1974.6,1372.5,2139.8,2145.6,2542.6
WWTR1,3,880.1,526.8,1175.3,207.8,314,609.1,258.4,1047.4,207.9,2107.7,262.6,3533.5,140.1,229.9
NA,NA,3002.6,574.3,433,163.5,655,1046.1,1142.2,2800.5,2826.8,5137.8,3266.5,1622.3,2190,3622.9
EFHD1,2,108.9,105.4,124.3,90.7,842,415.2,216.2,39.3,62.8,333.1,36.6,138.9,91.7,68.2
SIGMAR1,9,570.2,1972.8,1303.9,1261.1,3249.2,1845.2,1774.6,1678.2,1212.1,790.7,573.4,835,1953.5,2695.5
ACSL3,2,6.5,261.1,77.5,9.2,309,530.5,301.2,47.9,98.1,18.3,27.1,556.4,46.2,289
ACSL3,2,422.1,366.1,813.8,209,88,368.4,72.6,1745.5,388.4,427.2,587.5,1016,158.8,239.3
RAB11FIP5,2,675.1,1082,1083.3,833.9,696.3,639.3,896.8,479.2,471.2,565.2,635.4,488.5,462.4,535.8
EFS,14,841.4,303.9,684.9,628.8,112.7,376.6,538.3,752.8,1215.9,933.8,997,227.7,944.2,1038.4
UBE4B,1,28.1,291.4,189.2,56.7,240.1,132,134.2,160.2,239.1,75.9,74.3,173.5,272.5,220
KIAA0907,1,1109.9,158.8,116.1,118.3,174.1,80.2,247.7,1447.1,2259,1888.7,557.6,371.1,1347.2,1395.5
ABI1,10,507.9,35.9,105.1,48.1,387.4,238.9,128.8,161.9,532,645.7,172.1,301.9,201.9,236.1
HGS,17,1355,2721.5,1370.1,2361.6,2398.9,2632.2,2046.9,2251.7,1939.6,1035.6,1854.3,1443.8,1875.9,1563.6
ACTR1B,2,717.7,254.9,297.7,60,886.9,551.1,201.6,974.4,1340.4,549,357,568.4,781.4,664
DGCR2,22,2075.3,653.3,1697.1,3307.8,107.5,1324.6,1525.6,1338.2,854.4,1669.8,1272.6,3145,1170.5,893.6
RGS5,1,1080.5,175.9,265,160.6,344.4,241.9,201.7,134.4,122.9,201.4,248,564.6,180.5,327.8
CLIC4,1,2279.4,903.9,91.9,532.6,528.3,638.5,655.6,2500.5,1777.5,2626,721.9,985.1,2308.8,2179.2
PKP2,12,7.4,225.8,47.1,7.1,56.5,19.7,94.3,7.5,2.1,5,2.5,40.1,11.3,15.9
CEP170,1,375.1,106.5,204.2,103.1,159.4,447.7,185.2,490,1455.8,731.3,136.9,312,575.7,284.7
NET1,10,2.8,17.6,315.1,213.8,18.3,87.2,84.5,1.9,16.6,27.8,18.5,6.2,6.1,54.5
SH3YL1,2,1033.2,50.4,338.4,473,245.3,212.3,48.4,538.6,880.3,636.4,252.4,547,496.9,511.8
EP300,22,38.4,27,170,18.6,60.4,55.1,52.1,145.5,260.4,207.3,37.6,135.9,252.3,144.7
PI4K2A,10,131.7,100.6,368.3,235.4,304.5,279.3,239.4,126.3,54.3,55.6,249.8,22.5,129.4,31.2
MCRS1,12,910.9,1950.4,968.1,1981.5,2235.8,1592.5,2113.5,660.2,608.6,945.1,1398.1,920.4,980.2,477
ALDH9A1,1,1835.3,641.2,115.8,45.5,110.5,158.5,211.4,1081.9,1059.5,1617.8,714.9,989.6,1749,713.8
ATF6,1,195.8,125.4,255.3,112.7,158.5,574.5,91.5,418.7,305.4,172.1,118.6,210.7,491.8,272.1
FSTL3,19,1367.9,1236.8,1030.1,852.7,311.1,395.3,1323,387.2,439.8,458.5,826.6,1414.2,681.3,594.9
SLC29A1,6,1081.4,1139.2,1013.2,1074.7,775.3,1736.6,1222.7,1656.3,700.1,1190.3,1182.1,810.6,365.9,503.4
GPD1,12,65.3,617.7,369.1,131.1,1054.2,132,412.3,155.6,106.6,591.8,265,680.9,98.7,25.5
DAPK3,19,994.2,1132.2,2855.7,2949.5,1099,1137.3,1664,1173.9,641,754.4,2198.2,1991.5,1252.6,479.6
CLDN3,7,10.7,63,175.9,224.9,55.1,76.2,80.1,8.3,35.6,12.9,8.5,874.5,17.2,17.7
MBD2,18,147.9,32.3,760.1,281.9,41.7,241.7,179.3,296.4,206.4,228.9,32.2,316.6,112.6,130.8
SSSCA1,11,728.7,488.4,1221.5,2259,586,848.9,827.5,494.7,592.2,551.8,611.8,862.5,571.4,517.3
EIF4G3,1,823.1,433.6,146.4,294.2,521.2,739.6,545.4,938.7,1543.9,1811.1,540.8,609,815.2,270.9
CAPN1,11,1394.7,2141.4,1295.6,1288.3,1360.1,979.1,1647.6,1362.1,1484.1,898.8,1518.9,2274.4,2210.5,859.7
SF3B4,1,598,114.2,121.8,1085.7,157.2,127.3,127.8,852.1,725.3,891.5,720.8,740.2,1141.7,487.9
PTPRD,9,15.2,215.8,311,20,26.7,343.9,167.1,3.4,1.5,1.5,10.2,426.5,0.6,4.9
PTPRD,9,52.1,256.9,1187.7,125.4,414.4,378.7,343.6,69.3,31,213,25.4,251.8,14.2,34.5
ZMPSTE24,1,392.4,81.6,123.5,552.8,675.4,492,400.3,388.4,492.7,1255.9,375.5,571.2,567.7,793.8
PRRC2A,6,1101.9,913.8,1149.2,335,861.2,1137.3,1222.9,1641.6,2223.5,911.2,709.8,944.7,1838.2,3613.7
FECH,18,62.8,170.6,54.7,169.8,397.4,168.1,36.4,66.4,73.1,76,11.9,43.6,41.7,133.7
SETD3,14,2581,1714.1,254.2,331.1,1397.1,1184.6,1431.5,672.2,671.8,1707.1,1694.6,3089.4,2554,1885
NISCH,3,2193.6,721.5,1132.8,2729.6,222.7,1212.1,1137.4,1777.3,2762,2263,4027.7,1546.6,3050.5,2165.8
EPB41L1,20,109.2,264.5,38.3,386.6,290.7,198.4,623.1,173.4,285.9,378.7,112.8,440.9,152.3,233.7
HIRIP3,16,405.8,148.7,167,1172.7,115.4,105.7,94.6,860.6,333.5,323.5,788,434.5,404.1,452.2
TSPAN4,11,1446.6,323.5,1076.3,1804.1,153.4,404.7,443.2,2809.8,700.7,1327,1883.7,2074.7,1398.3,1500
DIAPH1,5,779.2,1747.7,1481.4,1713.1,1741.3,1971.7,1356,1602.3,761.6,1019.6,1790.1,1858,1397.8,1512.3
SLC37A4,11,844.9,999,136.9,852.6,968,1329.5,422.1,650.9,730.1,617.7,1112.2,541,712.5,954.2
PRDM2,1,666.9,795.2,656,470,838.7,490.3,653,359.1,404.9,465.2,454.4,420.1,339.4,568.8
PRDM2,1,8,17.8,76.3,133.1,14.7,18.1,21.2,7.7,10.5,3.3,8.8,10.5,27.1,4.3
DENND5A,11,766.5,308.6,80,45.2,172.5,108,206.4,578.3,585.8,1587.5,368.2,478.9,1101,769.1
NRGN,11,46.6,62.9,576.8,1554.3,92.5,84.9,55,205.2,280.8,471.9,522.2,1323.6,292.5,46.5
YLPM1,14,194.5,43.7,157,135.9,444.8,242.7,143.2,140.5,438.3,317.3,121.8,21.9,191.9,174.4
YLPM1,14,47.7,20.1,605.2,21,16.9,15,28.3,41.3,107.8,44,11.3,111,45.3,114.9
YLPM1,14,35.1,125.5,31.9,56.2,38.1,227.9,155.3,18.8,24.7,27.8,68.8,26.9,7.8,37.8
GPC1,2,554.5,1213.9,2673.1,881.2,1349.4,1839.3,367.7,580.1,612.5,876.2,972.6,903,740,336.2
SCFD1,14,333.4,23.9,814.4,188.2,31.1,96.9,234.1,185.1,559.7,498.2,223.8,260.7,306.1,407.8
GPX4,19,944.2,313.9,52.8,2629.9,49.5,1015.5,956.7,2220.7,3003.9,961.4,1208.8,1517.8,2326.7,1717.6
GSPT1,16,180.5,67.4,531,95.7,320.4,199.9,45.6,598.6,299.3,125.4,38.2,234.5,206.9,192.3
WFDC2,20,148.6,353.4,91.5,75.2,669.2,466.7,479.9,157.5,132.8,20.7,69.1,1482.4,36.7,81.9
SENP6,6,146.9,183.6,332.6,106,391.9,100,270.9,82.1,136.7,69.1,52,66.9,57.7,134.8
CACYBP,1,554,738.8,744.5,1142,1113.2,1699.9,964.8,351.2,328.8,240.3,333.6,679.7,856,303.8
GALC,14,246.9,25.3,334.2,184.2,227.7,157,97.3,82.4,572,307.8,100.5,284.2,159.6,384.4
DPY19L1,7,113.8,390.8,713,81,1049.4,786.5,411.4,85.3,92.5,75.7,86.2,243.3,57.9,272.9
DPY19L1,7,9.1,15.1,23.8,17.9,176,347,17.5,5.7,60.2,1.5,6.6,240.6,3.1,24.8
KCNA1,12,28,257.9,86.3,57.8,111.8,221.6,315.6,51.8,35.8,13.5,18,33.7,71,39.3
HCG4,6,2.3,28.5,74.2,32.1,27.5,17,29,1.5,13.5,7.5,3,7.6,53.1,43.1
